panjang_url,jumlah_titik,jumlah_strip,jumlah_digit,ada_at,ada_https,UsingIP,ShortURL,Redirecting//,PrefixSuffix-,SubDomains,HTTPSDomainURL,jumlah_kata_sensitif,label
175,2,1,16,0,1,0,0,0,0,0,0,0,1
30,3,0,0,0,1,0,0,0,0,1,0,0,1
43,2,1,3,0,1,0,0,0,1,0,0,0,1
23,1,1,0,0,1,0,0,0,1,0,0,0,0
22,1,0,0,0,1,0,0,0,0,0,0,0,0
45,2,2,0,0,1,0,0,0,1,0,0,0,1
167,2,5,16,0,1,0,0,0,0,0,0,0,1
21,1,1,0,0,1,0,0,0,1,0,0,0,1
36,2,0,1,0,1,0,0,0,0,0,0,0,1
175,2,2,18,0,1,0,0,0,0,0,0,0,1
24,1,0,0,0,1,0,0,0,0,0,0,0,0
29,1,0,0,0,1,0,0,0,0,0,0,0,0
22,1,0,1,0,1,0,0,0,0,0,0,0,1
25,2,0,4,0,0,0,0,0,0,0,0,0,1
19,1,0,2,0,1,0,0,0,0,0,0,0,0
21,1,0,0,0,1,0,0,0,0,0,0,0,0
22,1,0,0,0,1,0,0,0,0,0,0,0,0
26,1,0,0,0,1,0,0,0,0,0,0,0,0
24,1,0,0,0,1,0,0,0,0,0,0,0,0
21,1,0,0,0,1,0,0,0,0,0,0,0,0
22,1,0,0,0,1,0,0,0,0,0,0,0,1
22,1,0,0,0,1,0,0,0,0,0,0,0,0
19,2,0,2,0,0,0,0,0,0,0,0,0,1
61,2,1,7,0,1,0,0,0,0,0,0,0,1
23,1,0,0,0,1,0,0,0,0,0,0,0,0
28,2,0,0,0,1,0,0,0,0,0,0,0,1
21,1,0,0,0,1,0,0,0,0,0,0,0,0
20,2,0,0,0,1,0,0,0,0,0,0,0,0
40,2,0,2,0,1,0,0,0,0,0,0,0,1
19,1,0,0,0,1,0,0,0,0,0,0,0,0
22,1,0,0,0,1,0,0,0,0,0,0,0,0
181,3,3,22,0,1,0,0,0,0,0,0,0,1
62,2,3,2,0,1,0,0,0,0,0,0,0,1
19,1,0,0,0,1,0,0,0,0,0,0,0,0
23,1,0,0,0,1,0,0,0,0,0,0,0,0
25,1,0,0,0,1,0,0,0,0,0,0,0,0
30,1,0,0,0,1,0,0,0,0,0,0,0,0
22,1,0,0,0,1,0,0,0,0,0,0,0,1
66,3,1,24,0,1,0,0,0,1,0,0,0,1
22,1,0,0,0,1,0,0,0,0,0,0,0,1
19,1,0,0,0,1,0,0,0,0,0,0,0,0
18,1,0,0,0,1,0,0,0,0,0,0,0,0
175,2,1,19,0,1,0,0,0,0,0,0,0,1
47,2,0,3,0,1,0,0,0,0,0,0,0,1
89,2,1,34,0,1,0,0,0,1,0,0,0,1
40,2,1,4,0,0,0,0,0,1,0,0,0,1
31,1,1,0,0,1,0,0,0,1,0,0,0,0
21,2,0,0,0,1,0,0,0,0,0,0,0,0
21,1,1,0,0,1,0,0,0,1,0,0,0,0
19,1,0,0,0,1,0,0,0,0,0,0,0,0
15,1,0,0,0,1,0,0,0,0,0,0,0,0
19,1,0,0,0,1,0,0,0,0,0,0,0,0
54,2,1,0,0,1,0,0,1,0,0,0,0,1
84,2,1,2,0,1,0,0,0,0,0,0,0,1
127,3,4,8,0,1,0,0,0,0,0,0,0,1
19,1,1,0,0,1,0,0,0,1,0,0,0,0
62,3,1,27,0,1,0,0,0,1,0,0,0,1
34,1,0,1,0,1,0,0,0,0,0,0,0,1
23,2,0,0,0,1,0,0,0,0,0,0,0,1
21,1,0,0,0,1,0,0,0,0,0,0,0,0
23,2,0,1,0,1,0,0,0,0,0,0,0,1
18,1,0,0,0,1,0,0,0,0,0,0,0,0
175,2,1,22,0,1,0,0,0,0,0,0,0,1
21,1,0,0,0,1,0,0,0,0,0,0,0,0
23,1,0,0,0,1,0,0,0,0,0,0,0,0
17,1,0,0,0,1,0,0,0,0,0,0,0,0
18,1,0,0,0,1,0,0,0,0,0,0,0,0
16,1,0,0,0,1,0,0,0,0,0,0,0,0
21,1,0,0,0,1,0,0,0,0,0,0,0,0
26,1,1,0,0,1,0,0,0,1,0,0,0,0
22,1,0,1,0,1,0,0,0,0,0,0,0,1
67,1,0,9,0,1,0,0,0,0,0,0,0,1
16,1,0,0,0,1,0,0,0,0,0,0,0,0
18,1,0,0,0,1,0,0,0,0,0,0,0,0
23,2,0,1,0,1,0,0,0,0,0,0,0,1
96,3,1,23,0,1,0,0,0,1,0,0,0,1
42,2,1,6,0,0,0,0,0,1,0,0,0,1
25,1,0,0,0,1,0,0,0,0,0,0,0,0
24,1,0,0,0,1,0,0,0,0,0,0,0,0
19,1,0,0,0,1,0,1,0,0,0,0,0,0
21,1,0,0,0,1,0,0,0,0,0,0,0,0
